Ticker,Company_Name,Total_Score,Score_Size,Score_FCFP,Market_Cap,Enterprise_Value,BM_Ratio,FCF_Yield,ROA,EBITDA_Margin,Asset_Growth,EBITDA_Growth,Inv_Dummy,Price_Range,Data_Quality_Flag
7970.T,信越ポリマー,51.58,21.2,45.2,164808966144.0,120863244288.0,0.7472348312190623,0.030665807317692435,0.06163882134546501,0.17209853321517063,0.08673230192217533,0.1552142770426126,0.0,0.8124373119358074,
7999.T,ＭＵＴＯＨホールディングス,51.46,50.5,48.6,34974322688.0,23441682432.0,0.6769823739323989,0.03368185312718528,0.04583388970490052,0.1156774051191527,0.0438721817611597,0.29524397776405187,0.0,0.9904743760716327,
8041.T,ＯＵＧホールディングス,51.46,35.8,57.0,23481085952.0,53128916992.0,1.5141122549731043,0.04352439244459012,0.050149551345962114,0.021974223918284335,-0.009654415798134943,0.5607628322174883,0.0,0.7717745691662785,
7813.T,プラッツ,51.38,85.4,29.1,2732224512.0,3453271040.0,1.1693387516172025,-0.001921511199735551,,,0.041345015769164134,,,0.7397260273972602,
7571.T,ヤマノホールディングス,51.29,83.6,74.3,3696812288.0,3894060544.0,0.35905204175733363,0.0817201352042249,0.0052567293400255745,0.019536680023293177,-0.07989719632869142,0.5554630664325299,0.0,0.30337078651685395,
7966.T,リンテック,51.24,12.6,55.6,313984712704.0,266740285440.0,0.7814520582449815,0.04261831663318915,0.04251757124689034,0.11526435384741976,0.02062711711981774,0.4142979186082634,0.0,0.7737203495630461,
8276.T,平和堂,51.09,19.2,50.0,140304039936.0,139859918848.0,1.3535533266656286,,0.0348428547299492,0.06410922078593473,-0.005147659963614155,0.2372896061079299,0.0,0.47455470737913485,
8289.T,Ｏｌｙｍｐｉｃグループ,51.07,45.0,50.0,9877337088.0,33384366080.0,,,,,,,,0.5,
7849.T,スターツ出版,51.03,72.1,50.4,15127957504.0,8208440832.0,0.6456148490248959,0.035373247965464406,0.15245479502727774,0.28051126140823535,0.13162979400834848,0.02687512904123006,1.0,0.5035971223021583,
7640.T,トップカルチャー,50.89,68.3,96.3,3122183936.0,9847682048.0,0.23609787735452623,0.24881205461432493,-0.049428891300163875,-0.005916832725061529,-0.06259787482668329,0.230299300531356,0.0,0.515527950310559,
8281.T,ゼビオホールディングス,50.82,43.4,50.0,42954616832.0,35273850880.0,2.8336418521913913,,0.004760760741129345,0.03636029895891111,-0.026588078079511288,-0.062262015025213543,1.0,0.049707602339181284,
7922.T,三光産業,50.81,84.0,6.7,5589053440.0,3839793408.0,1.5701433336089197,-0.18424747786988416,0.007267850196654709,0.052155190561969454,0.004827797036413241,0.37337815345807784,0.0,0.8169556840077071,
8150.T,三信電気,50.63,37.7,38.3,36225953792.0,50339876864.0,1.1175413139554198,0.0169215696436783,0.04190412735428143,0.03718015533042671,0.06547588864662035,0.13043478260869565,0.0,0.8055384615384615,
7885.T,タカノ,50.59,71.0,47.9,19103082496.0,8705884160.0,1.6702510710866167,0.033424867433499254,0.01352937028114024,0.07270001930776086,-0.030478478805421576,-0.10881492262829567,1.0,0.5482093663911846,
7887.T,南海プライウッド,50.5,56.4,59.8,10826533888.0,18895398912.0,2.2548836268880663,0.04852125393356548,0.0031131270704517536,0.07599957193489959,0.00717015464094118,-0.28826112362675044,1.0,0.7373380447585395,
8084.T,ＲＹＯＤＥＮ,50.46,42.9,87.2,72647983104.0,35778400256.0,1.2278523943645256,0.11819667367375562,0.03309975703369837,0.0340145511840215,-0.08993315259538413,-0.19728783902012248,1.0,0.7231359649122807,
7762.T,シチズン時計,50.44,9.8,53.8,401372119040.0,371671138304.0,0.6376053239873789,0.040217043571956025,0.057456106576312956,0.1372169714565221,0.0002575551517047985,0.03553226958799714,0.0,0.7703269069572506,
8254.T,さいか屋,50.44,70.3,17.8,1893374592.0,9097282560.0,0.4182954621586049,-0.04716129622595041,0.009269781194320778,0.11597465618919879,0.007372419936752656,0.20563209621684692,0.0,0.014619883040935672,
7839.T,ＳＨＯＥＩ,50.33,29.5,81.5,82847383552.0,69110063104.0,0.3889495554168542,0.10119129465009662,0.1669403972586058,0.32041851433011687,0.07873235632650419,-0.15238418064503262,1.0,0.38306451612903225,
8136.T,サンリオ,50.32,5.5,43.2,1349218861056.0,1238528163840.0,0.07932664083589157,0.02743216913750496,0.20617471814076657,0.3996231988074863,0.2969589009496226,0.8870205624531561,0.0,0.25424133811230587,
