Ticker,Company_Name,Sector,Total_Score,Score_Size,Score_FCFP,Market_Cap_Billion,Enterprise_Value,BM_Ratio,FCF_Yield_Pct,ROA,EBITDA_Margin,Asset_Growth,EBITDA_Growth,Inv_Dummy,Price_Range_Pct,Momentum_6M_Pct,Score_Momentum,Data_Quality_Flag
CRGY,Crescent Energy Company,Energy,58.72,7.3,82.7,4.84B,9758154752.0,1.064865222677994,12.42%,0.010681008521356271,0.4656719319779808,0.3583324718587078,0.6720401850373324,0.0,99.86%,53.73%,9.0,
INSP,"Inspire Medical Systems, Inc.",Health Care,58.69,84.8,43.0,2.11B,1818866432.0,0.37013775940233684,4.48%,0.16027694840943132,0.08749195432799586,0.12238505757790552,0.22708189158016148,0.0,31.53%,22.38%,26.4,
CPB,The Campbell's Company,Consumer Staples,58.58,2.9,80.7,6.26B,13306999808.0,0.6230906789773459,11.93%,,,-0.02225139481457171,,,9.86%,-25.11%,89.4,
GBX,"The Greenbrier Companies, Inc.",Industrials,58.11,59.0,2.3,1.33B,3080791040.0,1.149497674391811,-12.35%,0.04680548548364904,0.149743842972656,0.0249383006228699,0.12003693444136658,0.0,23.19%,-22.08%,86.8,
GVA,"Granite Construction, Inc.",Industrials,58.08,21.6,91.0,5.28B,5938404352.0,0.22316734487597442,18.15%,0.04788689341213127,0.11266733704323251,0.3320728900023301,0.41730852887740216,0.0,33.42%,-7.79%,70.1,
ACT,"Enact Holdings, Inc.",Financials,57.95,15.6,64.7,6.8B,7043481088.0,0.788011305786878,7.67%,0.09780914274473827,,0.05703185340988182,,,92.9%,14.82%,34.7,金融・不動産セクター特化評価
LNN,Lindsay Corporation,Materials,57.91,93.3,50.0,1.18B,1166221824.0,,,,,,,,37.61%,,50.0,
APAM,"Artisan Partners Asset Management, Inc.",Financials,57.89,64.4,78.3,2.69B,2787083776.0,0.16304481775605686,10.82%,0.1840623042531123,0.4237194657254021,-0.02561473131219282,0.10464812297396214,0.0,30.15%,-6.56%,66.9,金融・不動産セクター特化評価
HSTM,"HealthStream, Inc.",Health Care,57.81,96.5,55.3,0.85B,797873088.0,0.41592261300555233,5.91%,0.03524772567422661,0.20954141233424542,0.018810962358496847,0.01893491124260355,0.0,82.77%,47.06%,12.2,
BANC,"Banc Of California, Inc.",Financials,57.73,47.9,69.0,2.94B,3788372736.0,1.2049928684701776,7.99%,0.006580167588180763,,0.037402232558317025,,,48.79%,-7.0%,68.2,金融・不動産セクター特化評価
CNXC,Concentrix,Industrials,57.7,16.2,98.3,1.72B,6971853312.0,1.5926250331112939,45.01%,-0.11884711264272026,-0.023554385706729783,-0.1026025402457987,-1.1744154061918073,1.0,23.53%,-3.78%,61.1,要確認: FCF異常値(>30%)
EPRT,"Essential Properties Realty Trust, Inc.",Real Estate,57.69,8.6,47.3,6.24B,9067025408.0,0.672837466534939,4.89%,0.03686611570440606,0.9195340856243285,0.1835487788431923,0.2743134693595344,0.0,0.67%,-7.14%,68.5,金融・不動産セクター特化評価
LKFN,Lakeland Financial,Financials,56.89,90.8,50.0,1.51B,1389739904.0,,,,,,,,49.92%,1.22%,55.3,金融・不動産セクター特化評価
FMC,FMC Corporation,Materials,56.76,27.3,80.3,1.43B,5377986048.0,1.451051016249866,11.6%,-0.23111941531092575,-0.42492934186998904,-0.1687161576549132,-3.216972615106831,1.0,5.05%,-20.62%,84.6,
DBD,Diebold Nixdorf,Information Technology,56.74,59.4,86.0,2.23B,3076475136.0,0.4937655763982759,14.01%,0.02454337899543379,0.0888929763249862,0.08773811203612247,0.01015228426395939,1.0,29.62%,-13.19%,76.5,
EGBN,Eagle Bancorp Inc,Financials,56.74,98.7,26.7,0.84B,440303488.0,1.3445923076858712,2.47%,-0.013151312783033728,,-0.05681338294558933,,,88.15%,5.83%,47.3,金融・不動産セクター特化評価
EYE,National Vision Holdings,Consumer Discretionary,56.72,81.6,37.0,1.37B,2027689472.0,0.6360380413996115,3.56%,0.014921776618987557,0.07986060796341915,-0.011999874487678126,0.7718068361947713,0.0,16.63%,-38.23%,95.5,
AEO,American Eagle Outfitters,Consumer Discretionary,56.7,42.5,65.3,2.52B,4280516096.0,0.6726998772203622,7.76%,0.047879880688733265,0.09914937817680733,0.04670203809934021,-0.17340833707801,1.0,6.67%,-37.91%,95.2,
BANF,Bancfirst Corp,Financials,56.58,99.4,58.7,3.72B,-587781184.0,0.4977877099317595,6.36%,0.01621482141558673,,0.09477270483773653,,,27.75%,-3.49%,60.1,金融・不動産セクター特化評価
FIBK,"First Interstate BancSystem, Inc.",Financials,56.49,58.1,67.7,3.52B,3154946048.0,0.9796381859174776,7.9%,0.01133983468840792,,-0.08569055578054321,,,68.0%,1.4%,54.3,金融・不動産セクター特化評価
KMT,Kennametal,Industrials,56.4,60.3,4.3,2.24B,2955396096.0,0.6996088532271071,-7.66%,0.10811992855771466,0.26861524047629354,0.2441019371323778,1.157396994172375,0.0,38.75%,-24.2%,88.7,
HFWA,Heritage Financial Corporation,Financials,56.23,93.7,62.7,1.16B,1146782976.0,0.7927522998818676,7.37%,0.009692637803469038,,-0.019550037305042105,,,71.4%,4.21%,49.2,金融・不動産セクター特化評価
ADUS,Addus HomeCare Corp.,Health Care,56.14,77.8,49.3,2.19B,2151216384.0,0.4966019870745361,5.32%,0.06672891266172595,0.11069643522456468,0.01746666156980506,0.3055507192306098,0.0,79.86%,4.27%,48.9,
HLX,"Helix Energy Solutions Group, Inc.",Energy,56.1,98.1,65.0,1.56B,562874112.0,1.0113029306006198,7.71%,0.011784453863750351,0.16259793073650727,0.007248140219015202,-0.17054355425470144,1.0,96.77%,25.15%,24.1,
CSR,Centerspace Trust,Real Estate,55.96,80.3,77.0,1.03B,2077683072.0,0.7028504351148007,10.3%,0.009130568637091177,0.6668518098968801,0.006510923563534021,0.3958817770162771,0.0,35.72%,-4.59%,63.0,金融・不動産セクター特化評価
EPAM,EPAM Systems,Information Technology,55.8,26.3,78.0,6.08B,5446048768.0,0.6045463038922422,10.69%,0.07704355815505731,0.12572420000820955,0.031925873486703324,0.02143256988363645,1.0,30.01%,-27.72%,92.0,
FBK,FB Financial Corp.,Financials,55.78,81.9,50.0,2.74B,1993400832.0,0.711839804768379,5.37%,0.007522687323638129,,0.23886105259349774,,,41.15%,-6.86%,67.8,金融・不動産セクター特化評価
CNMD,CONMED Corporation,Health Care,55.73,77.5,73.0,1.39B,2183663872.0,0.744980981274751,9.47%,0.020232191865932222,0.12837849633817405,0.008456162761404134,-0.35159433175473853,1.0,66.22%,11.11%,39.5,
EIG,"Employers Holdings, Inc.",Financials,55.5,95.6,24.3,0.89B,885518720.0,1.0715101932158122,2.06%,0.0031426409823662924,,-0.029565413831078982,,,82.62%,18.53%,29.6,金融・不動産セクター特化評価
DEA,"Easterly Government Properties, Inc.",Real Estate,55.44,62.2,78.7,1.17B,2880611072.0,1.1301588732444874,10.89%,0.003847303218858088,0.6007396630159566,0.048617917507867495,0.12581407797305735,0.0,61.67%,6.35%,46.6,金融・不動産セクター特化評価
GTY,Getty Realty Corp.,Real Estate,55.33,71.4,51.0,2.0B,2518363136.0,0.5364485113023306,5.43%,0.03643745559886775,0.8525935046250569,0.10117546917433425,0.10708784998565213,0.0,60.14%,0.67%,55.6,金融・不動産セクター特化評価
DAN,Dana Incorporated,Consumer Discretionary,55.26,38.7,93.0,3.34B,4578483200.0,0.25123500428506423,18.88%,0.010886270491803279,0.06746666666666666,0.043013625434143735,1.7058823529411764,0.0,61.14%,-5.2%,64.0,
